participant_id,timepoint,question_id,question_text,availability,topics,response,study_field,study_level,tutorials_completed
P00,PRE,Q01,I understand the difference between CPU and GPU responsibilities in rendering. ,both,general,4,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,POST,Q01,I understand the difference between CPU and GPU responsibilities in rendering. ,both,general,3,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,PRE,Q02,I understand the basic real-time rendering pipeline (vertex processing → rasterization → fragment processing).,both,general,3,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,POST,Q02,I understand the basic real-time rendering pipeline (vertex processing → rasterization → fragment processing).,both,general,3,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,PRE,Q03,"I understand how transformations (model, view, projection) work. ",both,general,4,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,POST,Q03,"I understand how transformations (model, view, projection) work. ",both,general,3,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,PRE,Q04,"I understand how lighting models (e.g., Phong, Blinn-Phong) work. ",both,general,3,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,POST,Q04,"I understand how lighting models (e.g., Phong, Blinn-Phong) work. ",both,general,3,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,PRE,Q05,I understand the purpose of physically based rendering (PBR). ,both,general,3,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,POST,Q05,I understand the purpose of physically based rendering (PBR). ,both,general,3,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,PRE,Q06,I have written shader programs before. ,both,shader_programming,3,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,POST,Q06,I have written shader programs before. ,both,shader_programming,3,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,PRE,Q07,I understand the difference between vertex and fragment shaders. ,both,shader_programming,3,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,POST,Q07,I understand the difference between vertex and fragment shaders. ,both,shader_programming,3,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,PRE,Q08,I understand how data is passed from the CPU to shaders. ,both,shader_programming,2,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,POST,Q08,I understand how data is passed from the CPU to shaders. ,both,shader_programming,3,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,PRE,Q09,I understand how textures are sampled in shaders. ,both,shader_programming,3,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,POST,Q09,I understand how textures are sampled in shaders. ,both,shader_programming,3,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,PRE,Q10,I understand how uniform data is accessed in shaders. ,both,shader_programming,3,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,POST,Q10,I understand how uniform data is accessed in shaders. ,both,shader_programming,3,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,PRE,Q11,I understand what a render pipeline object is. ,both,modern_gpu_api_concepts,1,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,POST,Q11,I understand what a render pipeline object is. ,both,modern_gpu_api_concepts,2,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,PRE,Q12,I understand the purpose of resource binding. ,both,modern_gpu_api_concepts,1,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,POST,Q12,I understand the purpose of resource binding. ,both,modern_gpu_api_concepts,3,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,PRE,Q13,I understand how uniform buffers work.,both,modern_gpu_api_concepts,1,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,POST,Q13,I understand how uniform buffers work.,both,modern_gpu_api_concepts,2,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,PRE,Q14,I understand how command buffers are used in modern graphics APIs.,both,modern_gpu_api_concepts,1,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,POST,Q14,I understand how command buffers are used in modern graphics APIs.,both,modern_gpu_api_concepts,3,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,PRE,Q15,I understand the concept of a render pass.,both,modern_gpu_api_concepts,1,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,POST,Q15,I understand the concept of a render pass.,both,modern_gpu_api_concepts,2,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,PRE,Q16,I understand how draw calls are issued in a GPU API.,both,modern_gpu_api_concepts,1,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,POST,Q16,I understand how draw calls are issued in a GPU API.,both,modern_gpu_api_concepts,3,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,PRE,Q17,I am familiar with the WebGPU API.,both,webgpu_specifics,1,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,POST,Q17,I am familiar with the WebGPU API.,both,webgpu_specifics,2,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,PRE,Q18,I understand the purpose of a bind group in WebGPU. ,both,webgpu_specifics,1,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,POST,Q18,I understand the purpose of a bind group in WebGPU. ,both,webgpu_specifics,3,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,PRE,Q19,I understand how a command encoder works in WebGPU.,both,webgpu_specifics,1,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,POST,Q19,I understand how a command encoder works in WebGPU.,both,webgpu_specifics,2,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,PRE,Q20,I understand how a render pass encoder works in WebGPU.,both,webgpu_specifics,1,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,POST,Q20,I understand how a render pass encoder works in WebGPU.,both,webgpu_specifics,2,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,PRE,Q21,I understand how pipeline layouts relate to bind groups.,both,webgpu_specifics,1,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,POST,Q21,I understand how pipeline layouts relate to bind groups.,both,webgpu_specifics,3,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,PRE,Q22,I understand the role of GPU buffers in WebGPU.,both,webgpu_specifics,1,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,POST,Q22,I understand the role of GPU buffers in WebGPU.,both,webgpu_specifics,2,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,PRE,Q23,I feel confident modifying shader code.,both,confidence,2,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,POST,Q23,I feel confident modifying shader code.,both,confidence,3,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,PRE,Q24,I feel confident working with a modern graphics API.,both,confidence,2,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
P00,POST,Q24,I feel confident working with a modern graphics API.,both,confidence,2,Computer Science,Bachelor,"Tutorial 1: Unlit Shader, Tutorial 2: Custom Bindgroup"
