question_id,canonical_key,question_text,availability,pre_column,post_column,topics
Q01,i understand the difference between cpu and gpu responsibilities in rendering.,I understand the difference between CPU and GPU responsibilities in rendering. ,both,I understand the difference between CPU and GPU responsibilities in rendering. ,I understand the difference between CPU and GPU responsibilities in rendering. ,general
Q02,i understand the basic real-time rendering pipeline (vertex processing → rasterization → fragment processing).,I understand the basic real-time rendering pipeline (vertex processing → rasterization → fragment processing).,both,I understand the basic real-time rendering pipeline (vertex processing → rasterization → fragment processing).,I understand the basic real-time rendering pipeline (vertex processing → rasterization → fragment processing).,general
Q03,"i understand how transformations (model, view, projection) work.","I understand how transformations (model, view, projection) work. ",both,"I understand how transformations (model, view, projection) work. ","I understand how transformations (model, view, projection) work. ",general
Q04,"i understand how lighting models (e.g., phong, blinn-phong) work.","I understand how lighting models (e.g., Phong, Blinn-Phong) work. ",both,"I understand how lighting models (e.g., Phong, Blinn-Phong) work. ","I understand how lighting models (e.g., Phong, Blinn-Phong) work. ",general
Q05,i understand the purpose of physically based rendering (pbr).,I understand the purpose of physically based rendering (PBR). ,both,I understand the purpose of physically based rendering (PBR). ,I understand the purpose of physically based rendering (PBR). ,general
Q06,i have written shader programs before.,I have written shader programs before. ,both,I have written shader programs before. ,I have written shader programs before. ,shader_programming
Q07,i understand the difference between vertex and fragment shaders.,I understand the difference between vertex and fragment shaders. ,both,I understand the difference between vertex and fragment shaders. ,I understand the difference between vertex and fragment shaders. ,shader_programming
Q08,i understand how data is passed from the cpu to shaders.,I understand how data is passed from the CPU to shaders. ,both,I understand how data is passed from the CPU to shaders. ,I understand how data is passed from the CPU to shaders. ,shader_programming
Q09,i understand how textures are sampled in shaders.,I understand how textures are sampled in shaders. ,both,I understand how textures are sampled in shaders. ,I understand how textures are sampled in shaders. ,shader_programming
Q10,i understand how uniform data is accessed in shaders.,I understand how uniform data is accessed in shaders. ,both,I understand how uniform data is accessed in shaders. ,I understand how uniform data is accessed in shaders. ,shader_programming
Q11,i understand what a render pipeline object is.,I understand what a render pipeline object is. ,both,I understand what a render pipeline object is. ,I understand what a render pipeline object is. ,modern_gpu_api_concepts
Q12,i understand the purpose of resource binding.,I understand the purpose of resource binding. ,both,I understand the purpose of resource binding. ,I understand the purpose of resource binding. ,modern_gpu_api_concepts
Q13,i understand how uniform buffers work.,I understand how uniform buffers work.,both,I understand how uniform buffers work.,I understand how uniform buffers work.,modern_gpu_api_concepts
Q14,i understand how command buffers are used in modern graphics apis.,I understand how command buffers are used in modern graphics APIs.,both,I understand how command buffers are used in modern graphics APIs.,I understand how command buffers are used in modern graphics APIs.,modern_gpu_api_concepts
Q15,i understand the concept of a render pass.,I understand the concept of a render pass.,both,I understand the concept of a render pass.,I understand the concept of a render pass.,modern_gpu_api_concepts
Q16,i understand how draw calls are issued in a gpu api.,I understand how draw calls are issued in a GPU API.,both,I understand how draw calls are issued in a GPU API.,I understand how draw calls are issued in a GPU API.,modern_gpu_api_concepts
Q17,i am familiar with the webgpu api.,I am familiar with the WebGPU API.,both,I am familiar with the WebGPU API.,I am familiar with the WebGPU API.,webgpu_specifics
Q18,i understand the purpose of a bind group in webgpu.,I understand the purpose of a bind group in WebGPU. ,both,I understand the purpose of a bind group in WebGPU. ,I understand the purpose of a bind group in WebGPU. ,webgpu_specifics
Q19,i understand how a command encoder works in webgpu.,I understand how a command encoder works in WebGPU.,both,I understand how a command encoder works in WebGPU.,I understand how a command encoder works in WebGPU.,webgpu_specifics
Q20,i understand how a render pass encoder works in webgpu.,I understand how a render pass encoder works in WebGPU.,both,I understand how a render pass encoder works in WebGPU.,I understand how a render pass encoder works in WebGPU.,webgpu_specifics
Q21,i understand how pipeline layouts relate to bind groups.,I understand how pipeline layouts relate to bind groups.,both,I understand how pipeline layouts relate to bind groups.,I understand how pipeline layouts relate to bind groups.,webgpu_specifics
Q22,i understand the role of gpu buffers in webgpu.,I understand the role of GPU buffers in WebGPU.,both,I understand the role of GPU buffers in WebGPU.,I understand the role of GPU buffers in WebGPU.,webgpu_specifics
Q23,i feel confident modifying shader code.,I feel confident modifying shader code.,both,I feel confident modifying shader code.,I feel confident modifying shader code.,confidence
Q24,i feel confident working with a modern graphics api.,I feel confident working with a modern graphics API.,both,I feel confident working with a modern graphics API.,I feel confident working with a modern graphics API.,confidence
Q25,i feel confident debugging rendering issues.,I feel confident debugging rendering issues.,both,I feel confident debugging rendering issues.,I feel confident debugging rendering issues.,confidence
Q26,the tutorials improved my understanding of general rendering concepts.,The tutorials improved my understanding of general rendering concepts. ,post_only,,The tutorials improved my understanding of general rendering concepts. ,perceived_learning_effects
Q27,the tutorials improved my understanding of modern gpu apis.,The tutorials improved my understanding of modern GPU APIs.,post_only,,The tutorials improved my understanding of modern GPU APIs.,perceived_learning_effects
Q28,the tutorials improved my understanding of webgpu specifically.,The tutorials improved my understanding of WebGPU specifically.,post_only,,The tutorials improved my understanding of WebGPU specifically.,perceived_learning_effects
Q29,the hands-on implementation helped me understand the graphics pipeline.,The hands-on implementation helped me understand the graphics pipeline.,post_only,,The hands-on implementation helped me understand the graphics pipeline.,perceived_learning_effects
Q30,the engine structure made gpu concepts easier to understand.,"The engine structure made GPU concepts easier to understand.
",post_only,,"The engine structure made GPU concepts easier to understand.
",perceived_learning_effects
Q31,i feel more comfortable working with webgpu after completing the tutorials.,I feel more comfortable working with WebGPU after completing the tutorials.,post_only,,I feel more comfortable working with WebGPU after completing the tutorials.,perceived_learning_effects
Q32,i feel capable of implementing a simple rendering feature using webgpu.,I feel capable of implementing a simple rendering feature using WebGPU.,post_only,,I feel capable of implementing a simple rendering feature using WebGPU.,perceived_learning_effects
Q33,i would recommend these tutorials to others learning graphics programming.,I would recommend these tutorials to others learning graphics programming.,post_only,,I would recommend these tutorials to others learning graphics programming.,perceived_learning_effects
